2024-07-31 15:34:23.623 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2024-07-31 15:34:23.657 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2024-07-31 15:34:23.854 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2024-07-31 15:34:23.861 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2024-07-31 15:34:23.861 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2024-07-31 15:34:23.885 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2024-07-31 15:34:23.899 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2024-07-31 15:34:24.188 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
2024-07-31 15:34:24.193 [main] INFO  com.sansi.Application - Started Application in 4.231 seconds (JVM running for 4.84)
2024-07-31 15:35:07.496 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2024-07-31 15:35:07.496 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2024-07-31 15:35:07.519 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 23 ms
2024-07-31 15:35:08.355 [http-nio-8080-exec-1] INFO  com.sansi.controller.UserManager - 查询到的用户是：1
2024-07-31 15:35:08.355 [http-nio-8080-exec-1] INFO  com.sansi.controller.UserManager - 登陆用户是：zhangsan
2024-07-31 15:35:08.417 [http-nio-8080-exec-2] INFO  com.sansi.controller.UserManager - 查询到的用户是：0
